"simulation","n_customers","n_wait","avg_wait_if_wait"
1,19,7,8.9249494810112
2,27,6,5.58059567170271
3,28,1,13.4069741508259
4,21,2,4.00338226468023
5,24,6,3.46308107247896
6,28,7,2.69349303447787
7,24,4,6.54679889276994
8,27,7,4.1811059166405
9,22,1,0.26260426114618
10,30,7,5.55179868152488
11,20,5,7.62804653158485
12,21,2,1.67312813943767
13,23,3,1.93794182100383
14,19,0,0
15,23,6,4.81817758120564
16,32,11,4.42059454703893
17,23,5,3.76214267643726
18,31,13,6.57995025241576
19,28,5,4.63115224947073
20,29,8,4.88895104100582
21,23,3,3.11885650988593
22,22,7,4.70778756324403
23,22,5,7.06162064757652
24,28,6,3.78631224387432
25,23,4,3.92842055244507
26,28,4,5.31059638145467
27,23,2,4.63732287763376
28,20,2,0.165431273169816
29,20,1,0.476183950580051
30,28,7,4.86973858038556
31,23,3,2.53367887691449
32,26,4,2.55066956825815
33,32,12,12.9618440701304
34,21,4,10.2302067536775
35,31,8,3.13377242072802
36,28,4,7.76008338900283
37,24,7,3.68773283579644
38,22,7,4.73334255496765
39,32,10,4.22679488771005
40,30,12,5.20083962643702
41,21,3,3.06097280953009
42,33,8,2.76209435118971
43,25,5,4.52962372899055
44,19,0,0
45,16,0,0
46,19,4,5.63416236499016
47,20,3,3.23959914572259
48,17,0,0
49,22,1,7.22734709549695
50,24,4,2.64331718582708
51,31,13,5.07635014229319
52,28,6,6.20412797199687
53,27,3,3.57458719061581
54,21,0,0
55,37,14,7.39795380138537
56,17,0,0
57,27,10,6.88547539081688
58,19,1,0.6961004274782
59,32,6,5.93429105848352
60,24,0,0
61,23,3,6.57636089766586
62,25,2,5.81188511091598
63,22,6,4.42893160311194
64,22,3,2.59877829365652
65,15,0,0
66,28,10,6.3188643668708
67,23,3,5.45018689371296
68,26,3,2.29746742637402
69,24,2,5.08048218750645
70,15,0,0
71,31,9,3.88882710354317
72,20,0,0
73,26,5,3.2861609627764
74,20,2,2.54692529667297
75,28,9,6.22435528169616
76,27,4,4.7216212700792
77,23,2,2.16977389776054
78,24,2,2.28335833001975
79,20,2,3.1794627628058
80,24,2,1.56288510996289
81,36,20,11.5202487853874
82,23,3,5.17497086756709
83,31,10,4.57276085044647
84,26,3,1.83485792919633
85,14,2,2.53006761061037
86,23,4,1.35508145408302
87,24,6,5.22928579036543
88,30,6,2.78424348240449
89,24,6,2.94934834825745
90,22,2,2.42974167173702
91,28,13,4.99980599371762
92,26,4,3.67058334402013
93,22,3,2.71292277397179
94,21,1,0.151246720197825
95,24,3,3.01291356893509
96,25,5,3.38594649704526
97,23,5,1.86989642930998
98,17,0,0
99,25,3,4.17678748540493
100,34,9,4.85203618352905
