"simulation","runs_3_outs","runs_4_outs"
1,0,5
2,5,0
3,0,2
4,0,4
5,2,8
6,0,4
7,0,0
8,0,5
9,0,0
10,0,0
11,1,0
12,1,0
13,0,0
14,3,0
15,3,0
16,2,0
17,2,3
18,1,0
19,3,0
20,0,4
21,0,1
22,1,1
23,3,0
24,1,0
25,0,0
26,0,4
27,0,0
28,0,3
29,0,0
30,0,2
31,0,0
32,1,0
33,1,0
34,6,0
35,0,2
36,2,8
37,0,2
38,0,0
39,0,0
40,0,1
41,1,0
42,1,5
43,0,0
44,3,1
45,0,0
46,0,0
47,0,3
48,0,1
49,0,1
50,1,0
51,1,5
52,1,4
53,0,5
54,0,0
55,0,0
56,0,5
57,1,4
58,0,5
59,1,3
60,1,4
61,0,4
62,0,0
63,4,1
64,4,1
65,2,5
66,0,0
67,5,0
68,0,0
69,0,1
70,0,0
71,0,0
72,7,0
73,0,3
74,0,0
75,0,0
76,1,0
77,0,0
78,1,0
79,1,1
80,1,6
81,0,2
82,0,0
83,0,0
84,1,0
85,0,0
86,0,1
87,0,3
88,5,0
89,0,1
90,0,1
91,3,0
92,0,0
93,0,1
94,1,3
95,1,0
96,1,1
97,0,1
98,0,0
99,1,7
100,0,0
101,0,0
102,2,1
103,0,5
104,2,1
105,0,0
106,0,2
107,3,1
108,2,2
109,0,0
110,0,4
111,4,0
112,0,0
113,3,7
114,0,0
115,0,1
116,3,0
117,0,0
118,0,1
119,1,2
120,0,0
121,0,2
122,1,1
123,1,1
124,3,3
125,1,7
126,2,0
127,0,0
128,2,3
129,0,1
130,0,0
131,0,2
132,0,3
133,0,0
134,0,0
135,0,4
136,2,2
137,0,3
138,0,0
139,1,1
140,6,4
141,5,5
142,2,0
143,1,2
144,0,0
145,0,3
146,5,1
147,0,4
148,0,0
149,1,0
150,0,0
151,2,4
152,6,6
153,1,2
154,3,0
155,0,2
156,0,4
157,0,4
158,0,0
159,1,0
160,1,0
161,4,2
162,0,3
163,6,1
164,0,2
165,0,5
166,2,3
167,0,1
168,0,0
169,0,7
170,0,1
171,0,1
172,1,0
173,0,0
174,0,1
175,2,0
176,5,3
177,0,2
178,0,2
179,0,5
180,0,0
181,0,1
182,0,2
183,0,0
184,1,0
185,0,1
186,0,6
187,4,1
188,5,1
189,0,1
190,0,2
191,0,2
192,0,0
193,0,2
194,2,2
195,0,1
196,6,0
197,2,0
198,5,3
199,4,2
200,0,3
201,3,1
202,0,3
203,0,1
204,0,4
205,2,2
206,4,0
207,0,0
208,1,0
209,1,6
210,2,4
211,0,1
212,2,6
213,2,3
214,3,0
215,2,1
216,0,5
217,5,3
218,0,2
219,0,0
220,1,0
221,0,0
222,0,1
223,3,5
224,1,0
225,1,2
226,1,2
227,1,4
228,0,0
229,0,8
230,1,6
231,0,0
232,0,0
233,1,3
234,4,0
235,0,0
236,1,1
237,0,7
238,0,4
239,2,0
240,0,1
241,1,5
242,0,2
243,2,4
244,1,1
245,0,1
246,2,0
247,0,0
248,3,0
249,4,0
250,2,0
251,3,2
252,0,2
253,2,3
254,2,1
255,3,3
256,0,0
257,0,0
258,0,1
259,5,2
260,0,4
261,2,0
262,0,2
263,2,1
264,1,1
265,1,0
266,1,3
267,3,0
268,1,0
269,1,5
270,0,0
271,2,0
272,2,4
273,0,0
274,2,0
275,0,0
276,0,2
277,4,1
278,0,1
279,5,4
280,4,5
281,2,0
282,0,2
283,3,1
284,1,0
285,2,3
286,2,1
287,0,2
288,2,0
289,4,0
290,3,0
291,0,0
292,0,6
293,2,1
294,0,0
295,2,1
296,0,4
297,1,0
298,0,0
299,0,2
300,0,0
301,0,2
302,0,0
303,0,0
304,2,0
305,1,0
306,2,0
307,0,4
308,0,2
309,3,3
310,4,0
311,2,1
312,3,1
313,0,0
314,0,1
315,0,0
316,1,0
317,0,5
318,3,0
319,0,0
320,0,0
321,1,0
322,3,1
323,1,5
324,6,2
325,1,0
326,0,0
327,1,0
328,0,2
329,0,0
330,0,0
331,0,4
332,3,4
333,4,1
334,0,4
335,6,3
336,0,1
337,2,1
338,1,0
339,0,0
340,0,0
341,0,1
342,1,2
343,2,0
344,2,2
345,1,0
346,0,0
347,0,8
348,1,0
349,0,0
350,3,1
351,0,5
352,2,2
353,1,0
354,2,0
355,2,1
356,2,0
357,0,2
358,2,0
359,2,3
360,0,3
361,3,3
362,2,0
363,0,0
364,1,0
365,0,3
366,0,0
367,0,0
368,4,1
369,0,0
370,0,2
371,1,0
372,3,2
373,0,1
374,0,0
375,2,1
376,0,5
377,4,2
378,0,4
379,0,0
380,0,0
381,0,3
382,0,0
383,2,0
384,0,0
385,2,0
386,0,3
387,1,0
388,3,2
389,1,4
390,2,0
391,2,1
392,6,2
393,0,0
394,0,2
395,1,0
396,8,0
397,5,2
398,0,1
399,1,3
400,0,3
401,0,3
402,3,0
403,0,0
404,0,0
405,0,1
406,1,4
407,4,0
408,1,1
409,0,1
410,0,3
411,0,0
412,0,0
413,0,0
414,2,0
415,0,2
416,0,2
417,9,3
418,0,2
419,4,6
420,4,1
421,0,1
422,0,3
423,0,0
424,0,0
425,1,2
426,0,1
427,4,4
428,0,2
429,8,0
430,1,2
431,0,0
432,0,1
433,1,8
434,2,6
435,0,2
436,4,3
437,1,0
438,0,0
439,0,6
440,9,0
441,2,3
442,0,0
443,1,0
444,6,9
445,0,3
446,1,2
447,0,1
448,0,0
449,1,2
450,3,1
451,0,2
452,1,10
453,4,5
454,0,0
455,2,1
456,1,1
457,0,0
458,0,8
459,0,2
460,3,5
461,3,0
462,0,1
463,3,3
464,0,0
465,3,0
466,1,6
467,0,9
468,2,0
469,1,0
470,0,2
471,2,1
472,0,2
473,1,2
474,4,0
475,2,2
476,0,0
477,0,0
478,4,3
479,0,0
480,6,0
481,0,0
482,1,4
483,1,9
484,1,1
485,1,3
486,0,0
487,0,1
488,0,0
489,4,3
490,2,2
491,6,0
492,2,0
493,1,2
494,0,0
495,2,0
496,3,2
497,0,1
498,4,3
499,0,3
500,0,2
501,1,1
502,2,1
503,0,0
504,2,5
505,0,0
506,2,1
507,0,4
508,0,0
509,4,2
510,3,0
511,0,0
512,0,3
513,0,1
514,1,0
515,4,2
516,0,0
517,2,2
518,1,0
519,5,0
520,0,0
521,0,2
522,0,5
523,0,0
524,3,1
525,0,1
526,0,0
527,0,0
528,0,0
529,0,2
530,0,1
531,0,2
532,0,4
533,4,5
534,0,0
535,0,1
536,1,1
537,0,3
538,3,2
539,1,0
540,0,7
541,0,3
542,0,0
543,3,0
544,3,1
545,1,4
546,0,7
547,0,0
548,0,3
549,0,0
550,0,1
551,0,2
552,2,0
553,0,0
554,0,0
555,0,6
556,7,4
