"playerID","yearID","stint","teamID","lgID","AB","HR","HRrate"
"aaronha01",1970,1,"ATL","NL",516,38,0.0736434108527132
"aaronha01",1971,1,"ATL","NL",495,47,0.094949494949495
"aaronha01",1972,1,"ATL","NL",449,34,0.0757238307349666
"aaronha01",1973,1,"ATL","NL",392,40,0.102040816326531
"aaronha01",1974,1,"ATL","NL",340,20,0.0588235294117647
"aaronha01",1975,1,"ML4","AL",465,12,0.0258064516129032
"aaronha01",1976,1,"ML4","AL",271,10,0.03690036900369
"abbotje01",1998,1,"CHA","AL",244,12,0.0491803278688525
"abbotje01",2000,1,"CHA","AL",215,3,0.013953488372093
"abbotku01",1994,1,"FLO","NL",345,9,0.0260869565217391
"abbotku01",1995,1,"FLO","NL",420,17,0.0404761904761905
"abbotku01",1996,1,"FLO","NL",320,8,0.025
"abbotku01",1997,1,"FLO","NL",252,6,0.0238095238095238
"abbotku01",1999,1,"COL","NL",286,8,0.027972027972028
"abercre01",2006,1,"FLO","NL",255,5,0.0196078431372549
"abernbr01",2001,1,"TBA","AL",304,5,0.0164473684210526
"abernbr01",2002,1,"TBA","AL",463,2,0.00431965442764579
"abnersh01",1992,1,"CHA","AL",208,1,0.00480769230769231
"abramcj01",2023,1,"WAS","NL",563,18,0.0319715808170515
"abramcj01",2024,1,"WAS","NL",541,20,0.0369685767097967
"abramcj01",2025,1,"WAS","NL",580,19,0.0327586206896552
"abreubo01",1998,1,"PHI","NL",497,17,0.03420523138833
"abreubo01",1999,1,"PHI","NL",546,20,0.0366300366300366
"abreubo01",2000,1,"PHI","NL",576,25,0.0434027777777778
"abreubo01",2001,1,"PHI","NL",588,31,0.0527210884353742
"abreubo01",2002,1,"PHI","NL",572,20,0.034965034965035
"abreubo01",2003,1,"PHI","NL",577,20,0.0346620450606586
"abreubo01",2004,1,"PHI","NL",574,30,0.0522648083623693
"abreubo01",2005,1,"PHI","NL",588,24,0.0408163265306122
"abreubo01",2006,1,"PHI","NL",339,8,0.023598820058997
"abreubo01",2006,2,"NYA","AL",209,7,0.0334928229665072
"abreubo01",2007,1,"NYA","AL",605,16,0.0264462809917355
"abreubo01",2008,1,"NYA","AL",609,20,0.0328407224958949
"abreubo01",2009,1,"LAA","AL",563,15,0.0266429840142096
"abreubo01",2010,1,"LAA","AL",573,20,0.0349040139616056
"abreubo01",2011,1,"LAA","AL",502,8,0.0159362549800797
"abreujo02",2014,1,"CHA","AL",556,36,0.0647482014388489
"abreujo02",2015,1,"CHA","AL",613,30,0.0489396411092985
"abreujo02",2016,1,"CHA","AL",624,25,0.0400641025641026
"abreujo02",2017,1,"CHA","AL",621,33,0.0531400966183575
"abreujo02",2018,1,"CHA","AL",499,22,0.0440881763527054
"abreujo02",2019,1,"CHA","AL",634,33,0.0520504731861199
"abreujo02",2020,1,"CHA","AL",240,19,0.0791666666666667
"abreujo02",2021,1,"CHA","AL",566,30,0.0530035335689046
"abreujo02",2022,1,"CHA","AL",601,15,0.0249584026622296
"abreujo02",2023,1,"HOU","AL",540,18,0.0333333333333333
"abreuwi02",2024,1,"BOS","AL",399,15,0.037593984962406
"abreuwi02",2025,1,"BOS","AL",373,22,0.0589812332439678
"ackledu01",2011,1,"SEA","AL",333,6,0.018018018018018
"ackledu01",2012,1,"SEA","AL",607,12,0.0197693574958814
"ackledu01",2013,1,"SEA","AL",384,4,0.0104166666666667
"ackledu01",2014,1,"SEA","AL",502,14,0.0278884462151394
"acunaro01",2018,1,"ATL","NL",433,26,0.0600461893764434
"acunaro01",2019,1,"ATL","NL",626,41,0.0654952076677316
"acunaro01",2021,1,"ATL","NL",297,24,0.0808080808080808
"acunaro01",2022,1,"ATL","NL",467,15,0.0321199143468951
"acunaro01",2023,1,"ATL","NL",643,41,0.0637636080870918
"acunaro01",2025,1,"ATL","NL",338,21,0.0621301775147929
"adamecr01",2016,1,"COL","NL",225,2,0.00888888888888889
"adamewi01",2018,1,"TBA","AL",288,10,0.0347222222222222
"adamewi01",2019,1,"TBA","AL",531,20,0.0376647834274953
"adamewi01",2021,2,"MIL","NL",365,20,0.0547945205479452
"adamewi01",2022,1,"MIL","NL",563,31,0.0550621669626998
"adamewi01",2023,1,"MIL","NL",553,24,0.0433996383363472
"adamewi01",2024,1,"MIL","NL",610,32,0.0524590163934426
"adamewi01",2025,1,"SFN","NL",591,30,0.050761421319797
"adamsgl01",1977,1,"MIN","AL",269,6,0.0223048327137546
"adamsgl01",1978,1,"MIN","AL",310,7,0.0225806451612903
"adamsgl01",1979,1,"MIN","AL",326,8,0.0245398773006135
"adamsgl01",1980,1,"MIN","AL",262,6,0.0229007633587786
"adamsgl01",1981,1,"MIN","AL",220,2,0.00909090909090909
"adamsma01",2013,1,"SLN","NL",296,17,0.0574324324324324
"adamsma01",2014,1,"SLN","NL",527,15,0.0284629981024668
"adamsma01",2016,1,"SLN","NL",297,16,0.0538720538720539
"adamsma01",2017,2,"ATL","NL",291,19,0.0652920962199313
"adamsma01",2018,1,"WAS","NL",249,18,0.072289156626506
"adamsma01",2019,1,"WAS","NL",310,20,0.0645161290322581
"adamsri03",2025,1,"WAS","NL",263,8,0.0304182509505703
"adamsru01",2005,1,"TOR","AL",481,8,0.0166320166320166
"adamsru01",2006,1,"TOR","AL",251,3,0.0119521912350598
"adelljo01",2022,1,"LAA","AL",268,8,0.0298507462686567
"adelljo01",2024,1,"LAA","AL",405,20,0.0493827160493827
"adelljo01",2025,1,"LAA","AL",526,37,0.0703422053231939
"adriaeh01",2018,1,"MIN","AL",335,6,0.017910447761194
"adriaeh01",2019,1,"MIN","AL",202,5,0.0247524752475248
"agbaybe01",1999,1,"NYN","NL",276,14,0.0507246376811594
"agbaybe01",2000,1,"NYN","NL",350,15,0.0428571428571429
"agbaybe01",2001,1,"NYN","NL",296,6,0.0202702702702703
"ageeto01",1970,1,"NYN","NL",636,24,0.0377358490566038
"ageeto01",1971,1,"NYN","NL",425,14,0.0329411764705882
"ageeto01",1972,1,"NYN","NL",422,13,0.0308056872037915
"ageeto01",1973,1,"HOU","NL",204,8,0.0392156862745098
"aguaylu01",1987,1,"PHI","NL",209,12,0.0574162679425837
"aguilje01",2017,1,"MIL","NL",279,16,0.0573476702508961
"aguilje01",2018,1,"MIL","NL",492,35,0.0711382113821138
"aguilje01",2019,1,"MIL","NL",222,8,0.036036036036036
"aguilje01",2021,1,"MIA","NL",449,22,0.0489977728285078
"aguilje01",2022,1,"MIA","NL",415,15,0.036144578313253
"ahmedni01",2015,1,"ARI","NL",421,9,0.0213776722090261
"ahmedni01",2016,1,"ARI","NL",284,4,0.0140845070422535
"ahmedni01",2018,1,"ARI","NL",516,16,0.0310077519379845
"ahmedni01",2019,1,"ARI","NL",556,19,0.0341726618705036
"ahmedni01",2021,1,"ARI","NL",434,5,0.0115207373271889
"aikenwi01",1979,1,"CAL","AL",379,21,0.0554089709762533
"aikenwi01",1980,1,"KCA","AL",543,20,0.0368324125230203
"aikenwi01",1981,1,"KCA","AL",349,17,0.0487106017191977
"aikenwi01",1982,1,"KCA","AL",466,17,0.036480686695279
"aikenwi01",1983,1,"KCA","AL",410,23,0.0560975609756098
"aikenwi01",1984,1,"TOR","AL",234,11,0.047008547008547
"aingeda01",1979,1,"TOR","AL",308,2,0.00649350649350649
"alberha01",2019,1,"BAL","AL",524,12,0.0229007633587786
"alberha01",2020,1,"BAL","AL",219,3,0.0136986301369863
"alberha01",2021,1,"KCA","AL",241,2,0.00829875518672199
"albieoz01",2017,1,"ATL","NL",217,6,0.0276497695852535
"albieoz01",2018,1,"ATL","NL",639,24,0.0375586854460094
"albieoz01",2019,1,"ATL","NL",640,24,0.0375
"albieoz01",2021,1,"ATL","NL",629,30,0.0476947535771065
"albieoz01",2022,1,"ATL","NL",247,8,0.0323886639676113
"albieoz01",2023,1,"ATL","NL",596,33,0.0553691275167785
"albieoz01",2024,1,"ATL","NL",399,10,0.025062656641604
"albieoz01",2025,1,"ATL","NL",603,16,0.0265339966832504
"alcanar01",2014,1,"CHN","NL",278,10,0.0359712230215827
"alcanse01",2021,1,"CHN","NL",220,5,0.0227272727272727
"aldremi01",1986,1,"SFN","NL",216,2,0.00925925925925926
"aldremi01",1987,1,"SFN","NL",357,9,0.0252100840336134
"aldremi01",1988,1,"SFN","NL",389,3,0.0077120822622108
"aldremi01",1993,1,"OAK","AL",255,10,0.0392156862745098
"alexabl01",2025,1,"ARI","NL",230,7,0.0304347826086957
"alexaga01",1978,2,"CLE","AL",324,17,0.0524691358024691
"alexaga01",1979,1,"CLE","AL",358,15,0.0418994413407821
"alexama02",1995,1,"BAL","AL",242,3,0.012396694214876
"alexama02",1998,1,"CHN","NL",264,5,0.0189393939393939
"alfarjo01",2018,1,"PHI","NL",344,10,0.0290697674418605
"alfarjo01",2019,1,"MIA","NL",431,18,0.0417633410672854
"alfarjo01",2021,1,"MIA","NL",295,4,0.0135593220338983
"alfarjo01",2022,1,"SDN","NL",256,7,0.02734375
"alfoned01",1995,1,"NYN","NL",335,4,0.0119402985074627
"alfoned01",1996,1,"NYN","NL",368,4,0.0108695652173913
"alfoned01",1997,1,"NYN","NL",518,10,0.0193050193050193
"alfoned01",1998,1,"NYN","NL",557,17,0.0305206463195691
"alfoned01",1999,1,"NYN","NL",628,27,0.0429936305732484
"alfoned01",2000,1,"NYN","NL",544,25,0.0459558823529412
"alfoned01",2001,1,"NYN","NL",457,17,0.037199124726477
"alfoned01",2002,1,"NYN","NL",490,16,0.0326530612244898
"alfoned01",2003,1,"SFN","NL",514,13,0.0252918287937743
"alfoned01",2004,1,"SFN","NL",519,11,0.0211946050096339
"alfoned01",2005,1,"SFN","NL",368,2,0.00543478260869565
"alfonel01",2006,1,"SFN","NL",286,12,0.041958041958042
"alicelu01",1988,1,"SLN","NL",297,1,0.00336700336700337
"alicelu01",1992,1,"SLN","NL",265,2,0.00754716981132075
