"playerID","yearID","stint","teamID","lgID","AB","HR","HRrate","p_elite"
"aaronha01",1970,1,"ATL","NL",516,38,0.0736434108527132,0.99807361080006
"aaronha01",1971,1,"ATL","NL",495,47,0.094949494949495,0.999834347449312
"aaronha01",1972,1,"ATL","NL",449,34,0.0757238307349666,0.998483637365014
"aaronha01",1973,1,"ATL","NL",392,40,0.102040816326531,0.999926829334219
"aaronha01",1974,1,"ATL","NL",340,20,0.0588235294117647,0.989463991949583
"aaronha01",1975,1,"ML4","AL",465,12,0.0258064516129032,0.676457523835449
"aaronha01",1976,1,"ML4","AL",271,10,0.03690036900369,0.882464820898557
"abbotje01",1998,1,"CHA","AL",244,12,0.0491803278688525,0.96866248808301
"abbotje01",2000,1,"CHA","AL",215,3,0.013953488372093,0.347879378145226
"abbotku01",1994,1,"FLO","NL",345,9,0.0260869565217391,0.683491495911086
"abbotku01",1995,1,"FLO","NL",420,17,0.0404761904761905,0.918941557579802
"abbotku01",1996,1,"FLO","NL",320,8,0.025,0.655793750973441
"abbotku01",1997,1,"FLO","NL",252,6,0.0238095238095238,0.62420078267149
"abbotku01",1999,1,"COL","NL",286,8,0.027972027972028,0.728513978317586
"abercre01",2006,1,"FLO","NL",255,5,0.0196078431372549,0.505805581943856
"abernbr01",2001,1,"TBA","AL",304,5,0.0164473684210526,0.415570535198316
"abernbr01",2002,1,"TBA","AL",463,2,0.00431965442764579,0.149496126172088
"abnersh01",1992,1,"CHA","AL",208,1,0.00480769230769231,0.156788781080083
"abramcj01",2023,1,"WAS","NL",563,18,0.0319715808170515,0.809689985295574
"abramcj01",2024,1,"WAS","NL",541,20,0.0369685767097967,0.883277630754572
"abramcj01",2025,1,"WAS","NL",580,19,0.0327586206896552,0.823274794378381
"abreubo01",1998,1,"PHI","NL",497,17,0.03420523138833,0.84623852091564
"abreubo01",1999,1,"PHI","NL",546,20,0.0366300366300366,0.879194958485419
"abreubo01",2000,1,"PHI","NL",576,25,0.0434027777777778,0.940772004270214
"abreubo01",2001,1,"PHI","NL",588,31,0.0527210884353742,0.9789407438315
"abreubo01",2002,1,"PHI","NL",572,20,0.034965034965035,0.857289432977518
"abreubo01",2003,1,"PHI","NL",577,20,0.0346620450606586,0.852964143953734
"abreubo01",2004,1,"PHI","NL",574,30,0.0522648083623693,0.977829008621488
"abreubo01",2005,1,"PHI","NL",588,24,0.0408163265306122,0.921813703780833
"abreubo01",2006,1,"PHI","NL",339,8,0.023598820058997,0.618488116604123
"abreubo01",2006,2,"NYA","AL",209,7,0.0334928229665072,0.835250026460412
"abreubo01",2007,1,"NYA","AL",605,16,0.0264462809917355,0.69238048796156
"abreubo01",2008,1,"NYA","AL",609,20,0.0328407224958949,0.824647137138978
"abreubo01",2009,1,"LAA","AL",563,15,0.0266429840142096,0.697187304580502
"abreubo01",2010,1,"LAA","AL",573,20,0.0349040139616056,0.85642695152719
"abreubo01",2011,1,"LAA","AL",502,8,0.0159362549800797,0.401340335174156
"abreujo02",2014,1,"CHA","AL",556,36,0.0647482014388489,0.994649032765599
"abreujo02",2015,1,"CHA","AL",613,30,0.0489396411092985,0.967809506855531
"abreujo02",2016,1,"CHA","AL",624,25,0.0400641025641026,0.91533314521496
"abreujo02",2017,1,"CHA","AL",621,33,0.0531400966183575,0.979913505513319
"abreujo02",2018,1,"CHA","AL",499,22,0.0440881763527054,0.945022801000479
"abreujo02",2019,1,"CHA","AL",634,33,0.0520504731861199,0.977287168268445
"abreujo02",2020,1,"CHA","AL",240,19,0.0791666666666667,0.998979732030013
"abreujo02",2021,1,"CHA","AL",566,30,0.0530035335689046,0.979601397703398
"abreujo02",2022,1,"CHA","AL",601,15,0.0249584026622296,0.654710893531889
"abreujo02",2023,1,"HOU","AL",540,18,0.0333333333333333,0.832705292653469
"abreuwi02",2024,1,"BOS","AL",399,15,0.037593984962406,0.890505233540349
"abreuwi02",2025,1,"BOS","AL",373,22,0.0589812332439678,0.989651775047888
"ackledu01",2011,1,"SEA","AL",333,6,0.018018018018018,0.460088826998915
"ackledu01",2012,1,"SEA","AL",607,12,0.0197693574958814,0.510457469699169
"ackledu01",2013,1,"SEA","AL",384,4,0.0104166666666667,0.261932129237207
"ackledu01",2014,1,"SEA","AL",502,14,0.0278884462151394,0.726604799846099
"acunaro01",2018,1,"ATL","NL",433,26,0.0600461893764434,0.990835958171797
"acunaro01",2019,1,"ATL","NL",626,41,0.0654952076677316,0.995088225832884
"acunaro01",2021,1,"ATL","NL",297,24,0.0808080808080808,0.99915541702456
"acunaro01",2022,1,"ATL","NL",467,15,0.0321199143468951,0.81231005197249
"acunaro01",2023,1,"ATL","NL",643,41,0.0637636080870918,0.994009964772805
"acunaro01",2025,1,"ATL","NL",338,21,0.0621301775147929,0.992778296448823
"adamecr01",2016,1,"COL","NL",225,2,0.00888888888888889,0.229345849390281
"adamewi01",2018,1,"TBA","AL",288,10,0.0347222222222222,0.853831741603227
"adamewi01",2019,1,"TBA","AL",531,20,0.0376647834274953,0.891298220254853
"adamewi01",2021,2,"MIL","NL",365,20,0.0547945205479452,0.98334204777596
"adamewi01",2022,1,"MIL","NL",563,31,0.0550621669626998,0.983839811520777
"adamewi01",2023,1,"MIL","NL",553,24,0.0433996383363472,0.940751842476801
"adamewi01",2024,1,"MIL","NL",610,32,0.0524590163934426,0.97830904454391
"adamewi01",2025,1,"SFN","NL",591,30,0.050761421319797,0.973745245219708
"adamsgl01",1977,1,"MIN","AL",269,6,0.0223048327137546,0.582737019816394
"adamsgl01",1978,1,"MIN","AL",310,7,0.0225806451612903,0.590444552710113
"adamsgl01",1979,1,"MIN","AL",326,8,0.0245398773006135,0.643727962687574
"adamsgl01",1980,1,"MIN","AL",262,6,0.0229007633587786,0.599334569901298
"adamsgl01",1981,1,"MIN","AL",220,2,0.00909090909090909,0.233486481925296
"adamsma01",2013,1,"SLN","NL",296,17,0.0574324324324324,0.987654694519645
"adamsma01",2014,1,"SLN","NL",527,15,0.0284629981024668,0.739558405282665
"adamsma01",2016,1,"SLN","NL",297,16,0.0538720538720539,0.981508254854355
"adamsma01",2017,2,"ATL","NL",291,19,0.0652920962199313,0.994972488768036
"adamsma01",2018,1,"WAS","NL",249,18,0.072289156626506,0.997748979326237
"adamsma01",2019,1,"WAS","NL",310,20,0.0645161290322581,0.994504794990308
"adamsri03",2025,1,"WAS","NL",263,8,0.0304182509505703,0.780570532350116
"adamsru01",2005,1,"TOR","AL",481,8,0.0166320166320166,0.420747587640958
"adamsru01",2006,1,"TOR","AL",251,3,0.0119521912350598,0.297548436392515
"adelljo01",2022,1,"LAA","AL",268,8,0.0298507462686567,0.769163890499901
"adelljo01",2024,1,"LAA","AL",405,20,0.0493827160493827,0.96936277731905
"adelljo01",2025,1,"LAA","AL",526,37,0.0703422053231939,0.997184385051914
"adriaeh01",2018,1,"MIN","AL",335,6,0.017910447761194,0.45701108695791
"adriaeh01",2019,1,"MIN","AL",202,5,0.0247524752475248,0.649326712478362
"agbaybe01",1999,1,"NYN","NL",276,14,0.0507246376811594,0.973636658564666
